id,duration,call_date
1,63,2025-01-06 10:20:06
2,62,2025-01-06 20:12:00
3,44,2025-01-03 08:07:50
4,128,2025-01-02 20:34:44
5,136,2025-01-02 18:28:43
6,87,2025-01-06 20:45:53
7,163,2025-01-02 14:52:50
8,60,2025-01-02 14:19:33
9,114,2025-01-05 13:13:31
10,7,2025-01-04 04:39:39
11,66,2025-01-03 19:37:51
12,150,2025-01-06 09:54:49
13,29,2025-01-01 16:54:17
14,170,2025-01-03 16:29:46
15,123,2025-01-01 16:20:00
16,47,2025-01-06 18:12:46
17,85,2025-01-03 12:42:15
18,101,2025-01-04 14:20:46
19,167,2025-01-01 17:10:12
20,180,2025-01-03 13:47:01
21,139,2025-01-05 14:51:46
22,135,2025-01-01 02:16:12
23,156,2025-01-04 09:00:06
24,160,2025-01-03 20:03:39
25,61,2025-01-05 04:40:42
26,103,2025-01-01 07:00:34
27,63,2025-01-01 19:10:15
28,71,2025-01-03 08:47:29
29,151,2025-01-05 02:16:44
30,69,2025-01-05 23:57:00
31,177,2025-01-05 06:00:00
32,71,2025-01-05 05:32:07
33,33,2025-01-01 00:55:51
34,86,2025-01-05 06:17:25
35,15,2025-01-01 02:33:51
36,160,2025-01-06 18:46:33
37,180,2025-01-02 17:03:50
38,36,2025-01-05 09:29:42
39,95,2025-01-06 20:12:13
40,96,2025-01-04 22:36:15
41,171,2025-01-05 12:55:06
42,35,2025-01-06 20:37:39
43,79,2025-01-01 16:33:16
44,49,2025-01-02 06:31:16
45,7,2025-01-03 17:52:44
46,83,2025-01-03 00:18:58
47,17,2025-01-05 18:51:01
48,25,2025-01-06 20:44:05
49,159,2025-01-01 09:07:17
50,174,2025-01-04 00:23:52
51,9,2025-01-01 23:00:39
52,166,2025-01-06 17:12:33
53,131,2025-01-05 21:00:25
54,164,2025-01-02 00:47:53
55,39,2025-01-06 02:54:39
56,141,2025-01-02 08:17:37
57,108,2025-01-06 13:43:28
58,25,2025-01-03 18:44:17
59,170,2025-01-01 13:02:55
60,87,2025-01-02 06:54:33
61,156,2025-01-03 10:00:29
62,118,2025-01-01 09:18:16
63,44,2025-01-01 20:01:04
64,89,2025-01-01 09:02:44
65,158,2025-01-05 21:41:14
66,36,2025-01-05 09:55:28
67,90,2025-01-01 17:04:23
68,174,2025-01-05 09:37:31
69,133,2025-01-05 23:27:56
70,165,2025-01-02 04:41:26
71,116,2025-01-01 02:54:17
72,147,2025-01-01 11:57:27
73,57,2025-01-06 15:34:17
74,100,2025-01-06 03:02:35
75,23,2025-01-03 23:51:31
76,121,2025-01-01 13:57:58
77,149,2025-01-02 08:06:47
78,143,2025-01-02 15:25:55
79,135,2025-01-04 02:23:03
80,119,2025-01-04 21:46:00
81,147,2025-01-01 23:09:52
82,64,2025-01-04 19:02:22
83,118,2025-01-01 20:28:10
84,114,2025-01-04 20:50:06
85,64,2025-01-02 15:34:58
86,61,2025-01-03 00:09:56
87,1,2025-01-03 02:30:50
88,179,2025-01-01 09:15:34
89,8,2025-01-02 15:44:33
90,47,2025-01-03 07:19:45
91,30,2025-01-05 03:38:33
92,164,2025-01-01 11:30:55
93,62,2025-01-02 21:36:18
94,80,2025-01-05 03:05:32
95,179,2025-01-05 04:57:59
96,163,2025-01-06 01:26:09
97,89,2025-01-05 04:54:59
98,117,2025-01-01 22:52:57
99,75,2025-01-04 10:43:41
100,15,2025-01-03 01:50:09
101,146,2025-01-05 05:42:53
102,175,2025-01-06 19:33:15
103,82,2025-01-06 08:26:42
104,31,2025-01-02 23:58:54
105,76,2025-01-06 08:44:07
106,40,2025-01-06 22:31:48
107,118,2025-01-01 04:54:01
108,159,2025-01-04 16:52:32
109,162,2025-01-05 20:36:38
110,96,2025-01-06 12:37:08
111,141,2025-01-05 03:03:46
112,78,2025-01-02 20:34:55
113,148,2025-01-01 04:13:04
114,90,2025-01-02 14:34:16
115,89,2025-01-05 15:48:21
116,143,2025-01-06 03:29:31
117,173,2025-01-02 14:41:18
118,17,2025-01-01 21:38:30
119,140,2025-01-01 16:55:50
120,100,2025-01-05 02:04:52
121,27,2025-01-04 13:12:36
122,69,2025-01-04 07:21:41
123,116,2025-01-06 07:55:58
124,4,2025-01-06 13:41:10
125,19,2025-01-02 18:45:32
126,149,2025-01-05 20:33:42
127,157,2025-01-05 08:43:25
128,138,2025-01-03 10:49:18
129,23,2025-01-05 04:10:41
130,59,2025-01-02 02:21:27
131,32,2025-01-04 12:44:22
132,5,2025-01-03 20:47:31
133,37,2025-01-01 19:41:52
134,32,2025-01-02 15:46:41
135,57,2025-01-06 12:14:55
136,142,2025-01-04 04:32:17
137,2,2025-01-04 05:18:56
138,99,2025-01-05 00:03:21
139,91,2025-01-01 04:28:57
140,124,2025-01-05 01:39:30
141,6,2025-01-04 04:40:52
142,85,2025-01-01 11:51:18
143,87,2025-01-06 11:35:37
144,86,2025-01-01 09:26:49
145,105,2025-01-04 12:16:16
146,28,2025-01-01 03:46:16
147,141,2025-01-05 06:33:13
148,166,2025-01-02 21:09:48
149,82,2025-01-02 03:51:48
150,54,2025-01-05 22:56:34
151,174,2025-01-05 13:05:33
152,124,2025-01-04 21:46:56
153,155,2025-01-05 09:19:56
154,28,2025-01-02 22:46:17
155,180,2025-01-04 18:18:03
156,6,2025-01-01 06:25:08
157,101,2025-01-05 08:17:10
158,35,2025-01-03 02:02:35
159,61,2025-01-02 10:44:19
160,73,2025-01-01 22:01:34
161,100,2025-01-02 08:30:54
162,173,2025-01-03 05:57:01
163,168,2025-01-04 22:51:01
164,9,2025-01-02 23:13:05
165,179,2025-01-04 12:58:58
166,19,2025-01-01 01:15:40
167,119,2025-01-01 14:49:58
168,75,2025-01-06 11:26:29
169,125,2025-01-01 15:21:35
170,139,2025-01-06 05:31:29
171,172,2025-01-02 05:27:55
172,107,2025-01-03 01:10:23
173,172,2025-01-03 01:06:08
174,158,2025-01-01 01:10:55
175,21,2025-01-02 22:19:15
176,109,2025-01-02 18:18:34
177,66,2025-01-04 08:02:02
178,169,2025-01-06 00:09:34
179,112,2025-01-03 22:15:41
180,51,2025-01-04 04:39:58
181,5,2025-01-02 17:24:56
182,49,2025-01-01 06:35:41
183,3,2025-01-05 01:08:14
184,155,2025-01-02 01:51:11
185,92,2025-01-03 23:34:03
186,85,2025-01-02 08:00:28
187,84,2025-01-05 13:12:05
188,69,2025-01-05 02:03:42
189,149,2025-01-06 08:15:12
190,77,2025-01-03 00:40:52
191,42,2025-01-04 12:49:30
192,54,2025-01-04 23:26:55
193,139,2025-01-03 22:36:08
194,81,2025-01-01 14:12:54
195,98,2025-01-03 16:04:08
196,21,2025-01-03 14:25:23
197,158,2025-01-01 03:32:00
198,139,2025-01-06 09:55:41
199,102,2025-01-02 13:24:22
200,132,2025-01-06 00:08:36
201,42,2025-01-06 13:03:47
202,64,2025-01-01 11:53:27
