contact_id,call_id
6872,1
582,1
8884,2
2076,2
8546,3
1332,3
1794,3
3892,3
9203,3
6951,3
1320,4
6454,4
1700,4
5983,4
1999,5
7055,5
7046,5
2588,5
7596,5
9740,5
503,6
4096,6
4367,6
5367,6
8338,6
153,6
5932,7
5628,7
9,7
2525,8
3276,8
6870,8
9126,8
6967,8
3217,8
7287,9
318,9
9906,9
2221,10
5936,10
3395,10
7600,11
5516,11
8881,11
3187,11
5271,11
7804,11
3550,12
4506,12
8349,12
9346,12
8418,12
8568,12
4126,13
9959,13
1788,14
5011,14
8250,14
3888,14
10,14
3238,15
5554,15
664,15
4074,15
3966,15
5894,15
4790,16
7547,16
7520,17
5313,17
7171,17
6356,18
1,18
3751,18
8816,18
2123,18
9071,18
1042,19
3801,19
9095,19
2868,20
2933,20
6340,20
6069,21
6460,21
4369,21
7435,21
8305,22
3375,22
7338,22
1249,22
997,23
3489,23
7736,23
1050,23
9502,24
1553,24
7199,25
6900,25
1497,25
4275,26
8147,26
2945,26
6331,26
2114,27
7082,27
564,28
5273,28
7527,28
1488,28
1123,29
8370,29
3014,30
547,30
1660,30
1175,30
2842,31
1590,31
3929,31
8976,31
7690,32
1033,32
2725,32
8189,32
7699,32
2918,33
647,33
98,33
1989,33
2173,34
4806,34
1628,34
7243,35
5800,35
3560,35
5946,35
8662,35
7631,35
9979,36
4887,36
9727,36
2750,36
545,37
8017,37
6300,37
4639,38
6552,38
3928,38
3440,38
2408,38
5828,39
9120,39
2686,39
8538,39
5455,40
6923,40
6946,40
9062,40
9055,40
7510,41
3065,41
7899,41
9377,41
1825,42
8810,42
9441,42
863,42
817,42
6238,43
9768,43
3191,43
1340,44
942,44
8813,45
4562,45
3698,46
2740,46
9676,47
6580,47
5351,47
2187,47
5442,48
7270,48
6841,48
3676,48
47,49
7119,49
8756,49
8296,49
9473,49
2028,49
8124,50
134,50
5549,50
9896,50
6823,50
31,50
1040,51
2437,51
4299,51
1016,52
579,52
1322,52
4394,52
9578,52
7797,52
5184,53
3375,53
7721,53
1415,53
8231,53
8919,53
6344,54
392,54
3808,54
3337,54
7925,54
5745,54
1253,55
5226,55
4155,55
8105,55
9615,55
2096,56
6542,56
1003,56
8895,57
6642,57
3596,58
3497,58
9601,59
2592,59
5597,59
7469,59
236,59
8376,59
9180,60
2826,60
3760,60
756,60
5548,60
834,61
3709,61
4201,61
9463,62
2478,62
5081,62
7072,62
4989,63
3691,63
3519,63
4327,63
9059,63
900,64
8013,64
3361,64
8534,64
6915,65
897,65
5305,65
3764,65
154,65
9677,66
5272,66
6001,66
2205,67
6064,67
7592,67
8363,67
9750,68
1063,68
6045,68
8687,68
2911,68
2967,68
8516,69
5078,69
2242,69
5204,69
3867,69
1115,69
4432,70
2130,70
5224,70
4397,70
5965,71
7827,71
8959,71
2409,71
9871,72
4471,72
4991,72
2955,72
4597,72
5132,72
9651,73
4077,73
7338,73
9000,74
6500,74
6466,74
9655,74
8461,74
8253,74
5326,75
6915,75
4248,75
4140,75
4482,75
7903,76
9792,76
2120,77
3033,77
2821,77
7709,78
2758,78
2154,78
2101,79
7066,79
2202,79
7417,80
5229,80
3723,80
1353,80
5007,80
7136,80
6419,81
5946,81
8440,82
2102,82
5983,82
9187,82
6538,83
4578,83
9950,83
9774,83
8685,83
1984,84
2817,84
1087,84
5714,85
4632,85
9322,85
6751,86
6627,86
6520,87
5039,87
1547,87
5968,87
2421,88
7275,88
804,88
3381,88
147,89
4193,89
6410,89
2508,89
8591,89
581,89
3700,90
9930,90
2666,90
5203,90
9191,90
6550,90
7877,91
470,91
8375,91
1529,92
2249,92
9602,92
9639,92
8753,93
2915,93
8297,93
5381,93
6100,94
9568,94
3096,94
7660,95
2343,95
9965,95
7600,95
9447,95
6151,95
4729,96
6829,96
640,97
7289,97
7704,98
4704,98
8105,98
1818,98
3435,99
9102,99
8935,99
9578,99
8859,99
5179,100
9067,100
2915,100
3331,100
440,100
5307,100
2529,101
8426,101
2475,102
1375,102
6682,102
5560,102
8763,103
5473,103
1025,104
771,104
3882,104
3143,104
8126,105
9586,105
1643,105
9712,105
7932,105
884,105
5050,106
5319,106
8672,106
3984,106
4934,106
471,107
5357,107
2499,107
755,107
8551,107
1491,107
4442,108
3939,108
8456,108
1170,108
1230,108
2898,108
3341,109
9943,109
4708,109
4666,110
9257,110
7230,110
3115,110
3904,110
3907,111
2550,111
4245,111
6251,111
4666,112
1772,112
5209,112
6593,112
548,112
8035,112
8732,113
7501,113
5442,114
1867,114
9077,114
6015,114
1616,114
6663,114
4175,115
6085,115
9566,115
1387,115
1391,115
2289,116
6187,116
9907,116
1960,116
1973,116
6203,116
2921,117
6517,117
8507,117
728,117
7955,118
9358,118
2123,118
6171,118
5117,118
4805,119
2189,119
4422,119
3106,119
5693,119
4670,119
3596,120
9481,120
6658,120
810,121
