contact_id,call_id
906,1
259,1
738,1
853,1
97,1
33,1
414,1
570,1
155,1
72,1
131,1
832,1
756,2
4,2
245,2
580,2
60,2
410,3
352,3
797,3
227,3
229,3
271,3
266,4
25,4
311,4
69,4
768,4
117,4
507,4
451,5
238,5
180,5
220,5
112,5
271,5
442,6
881,6
308,6
242,6
214,6
620,6
138,6
907,6
806,6
18,6
61,6
964,6
412,6
922,6
27,6
758,6
378,6
198,6
897,6
582,7
77,7
310,7
262,7
348,7
178,7
523,7
485,7
315,7
136,7
373,8
360,8
927,8
561,8
44,8
573,8
724,8
273,8
133,8
42,8
352,8
543,8
241,8
135,9
853,9
337,9
3,10
301,10
925,10
473,10
873,10
185,10
781,10
791,10
751,10
808,11
1,11
812,11
70,11
536,11
346,12
251,12
723,12
184,12
286,12
564,12
569,12
181,12
258,12
282,12
748,12
411,13
429,13
647,13
682,13
985,13
972,13
850,13
562,13
226,13
819,13
843,13
658,13
369,13
517,13
538,14
826,14
906,14
660,14
905,14
375,14
53,14
938,14
902,14
974,15
57,15
334,15
933,15
909,15
81,15
126,15
860,15
264,15
984,15
183,15
715,15
424,15
587,15
182,15
280,15
142,15
956,15
219,15
927,16
367,16
680,16
111,16
195,16
630,16
360,16
104,16
854,16
254,16
579,16
381,16
885,16
457,16
195,16
469,16
996,17
640,17
249,17
215,17
196,17
922,17
493,17
825,17
47,17
865,17
571,17
215,17
602,17
814,17
87,17
291,17
276,17
983,18
220,18
664,18
193,18
126,18
907,18
851,18
823,18
157,18
342,18
814,18
644,18
862,18
82,18
470,18
891,18
948,18
629,19
493,19
559,19
308,19
761,19
824,19
683,19
614,19
973,19
177,19
262,19
770,19
882,19
80,19
351,19
379,20
771,20
600,20
3,21
91,21
838,21
700,21
199,21
988,21
908,21
595,21
60,21
892,22
465,22
129,22
922,22
194,22
616,22
228,22
575,22
785,22
582,22
881,22
253,22
986,22
350,22
196,23
287,23
472,23
724,23
760,23
350,23
933,23
254,23
752,23
870,23
125,23
427,23
485,24
258,24
545,24
107,24
551,24
135,24
502,24
154,24
270,24
30,24
259,24
936,24
621,24
928,24
560,24
462,24
955,24
441,24
855,25
89,25
982,25
835,25
378,25
300,25
897,25
288,25
157,25
729,25
765,25
501,26
960,26
210,26
581,26
786,26
43,27
439,27
539,27
859,27
950,27
62,28
996,28
315,28
107,28
410,28
991,28
39,28
662,29
145,29
1000,29
748,29
387,30
782,30
939,30
748,30
989,30
374,30
515,31
957,31
419,31
89,31
846,31
18,31
671,31
601,32
28,32
50,32
133,32
848,32
589,32
147,33
455,33
344,33
330,33
476,33
669,34
789,34
292,34
555,34
540,34
342,34
962,34
889,34
586,34
771,34
450,34
818,34
778,34
80,35
889,35
999,35
616,35
794,35
421,35
775,35
590,35
270,35
579,35
989,35
389,35
323,35
442,35
88,35
429,35
613,35
865,35
522,35
882,35
177,36
585,36
656,37
740,37
384,37
894,37
831,37
894,37
358,38
915,38
634,38
871,38
606,38
394,38
280,38
453,38
267,38
536,38
372,38
507,39
489,39
119,39
628,39
566,39
