id,duration,call_date
1,175,2025-01-02 14:16:23
2,138,2025-01-02 03:22:00
3,104,2025-01-04 12:09:58
4,178,2025-01-04 13:58:18
5,152,2025-01-06 20:40:22
6,49,2025-01-05 21:17:41
7,96,2025-01-03 18:51:14
8,52,2025-01-05 21:54:45
9,168,2025-01-05 12:53:14
10,97,2025-01-01 11:08:42
11,175,2025-01-06 13:52:10
12,120,2025-01-02 15:00:03
13,86,2025-01-03 02:38:41
14,73,2025-01-05 20:49:43
15,86,2025-01-01 01:39:02
16,124,2025-01-04 01:40:49
17,93,2025-01-02 08:35:19
18,19,2025-01-05 09:13:18
19,142,2025-01-04 12:41:44
20,64,2025-01-06 21:22:50
21,11,2025-01-01 13:32:50
22,170,2025-01-06 04:19:47
23,34,2025-01-01 08:39:28
24,154,2025-01-05 10:19:35
25,14,2025-01-01 23:46:16
26,98,2025-01-04 17:49:37
27,156,2025-01-04 23:57:42
28,118,2025-01-03 09:35:52
29,180,2025-01-03 03:10:58
30,167,2025-01-05 16:21:52
31,69,2025-01-02 23:28:28
32,118,2025-01-01 20:34:21
33,175,2025-01-03 00:48:42
34,84,2025-01-01 22:05:15
35,105,2025-01-01 02:29:55
36,162,2025-01-02 21:33:13
37,18,2025-01-04 22:05:39
38,18,2025-01-06 12:28:14
39,37,2025-01-01 21:49:45
40,148,2025-01-02 23:28:33
41,23,2025-01-05 18:25:25
42,73,2025-01-04 05:20:24
43,70,2025-01-01 10:39:53
44,8,2025-01-01 09:59:01
45,106,2025-01-03 02:20:00
46,129,2025-01-06 11:34:08
47,115,2025-01-04 23:25:40
48,53,2025-01-04 13:54:15
49,94,2025-01-06 13:34:26
50,164,2025-01-04 05:17:12
51,129,2025-01-05 17:22:35
52,145,2025-01-02 16:04:08
53,111,2025-01-05 02:23:31
54,74,2025-01-01 11:34:04
55,125,2025-01-06 00:16:52
56,36,2025-01-01 17:20:45
57,13,2025-01-06 13:32:02
58,21,2025-01-03 09:17:23
59,33,2025-01-05 23:18:03
60,87,2025-01-06 00:21:23
61,13,2025-01-05 13:50:12
62,127,2025-01-04 10:56:45
63,157,2025-01-04 18:58:18
64,173,2025-01-04 15:07:31
65,173,2025-01-04 05:32:31
66,170,2025-01-01 22:19:29
67,100,2025-01-03 16:49:21
68,96,2025-01-02 09:34:05
69,150,2025-01-03 03:50:11
70,61,2025-01-01 16:57:27
71,104,2025-01-02 19:06:44
72,44,2025-01-04 00:44:58
73,6,2025-01-01 23:18:01
74,131,2025-01-03 15:48:53
75,100,2025-01-06 09:50:10
76,77,2025-01-04 09:43:34
77,136,2025-01-06 05:40:11
78,87,2025-01-02 00:28:59
79,112,2025-01-02 19:59:38
80,36,2025-01-04 21:55:36
81,139,2025-01-05 13:54:19
82,169,2025-01-06 14:25:52
83,159,2025-01-03 22:52:07
84,111,2025-01-05 01:20:51
85,174,2025-01-01 08:50:28
86,87,2025-01-02 15:09:25
87,159,2025-01-05 10:34:16
88,106,2025-01-06 11:29:01
89,165,2025-01-06 06:37:29
90,55,2025-01-06 17:48:07
91,121,2025-01-06 08:14:02
92,106,2025-01-05 21:28:49
93,82,2025-01-04 01:32:39
94,107,2025-01-01 15:32:19
95,101,2025-01-06 00:41:31
96,22,2025-01-01 00:12:55
97,48,2025-01-05 03:37:36
98,16,2025-01-04 04:50:10
99,3,2025-01-06 17:05:37
100,7,2025-01-02 07:28:37
101,53,2025-01-03 06:24:32
102,46,2025-01-02 07:12:30
103,151,2025-01-05 09:30:02
104,50,2025-01-03 23:29:46
105,39,2025-01-02 11:46:10
106,36,2025-01-02 06:24:01
107,2,2025-01-05 22:48:17
108,67,2025-01-02 02:41:17
109,178,2025-01-03 17:13:09
110,167,2025-01-05 14:07:19
111,117,2025-01-05 00:20:12
112,27,2025-01-06 00:22:40
113,171,2025-01-04 04:44:38
114,108,2025-01-05 01:29:33
115,128,2025-01-04 18:50:00
116,6,2025-01-03 00:04:28
117,48,2025-01-03 07:51:04
118,111,2025-01-06 15:11:01
119,30,2025-01-02 06:15:58
120,54,2025-01-03 05:56:23
121,117,2025-01-04 00:54:00
122,167,2025-01-02 12:21:05
123,27,2025-01-03 00:14:13
124,124,2025-01-04 14:23:13
125,2,2025-01-02 08:24:34
126,151,2025-01-01 06:51:47
127,24,2025-01-06 16:23:17
128,42,2025-01-05 16:09:54
129,57,2025-01-02 13:18:20
130,175,2025-01-06 07:55:29
131,32,2025-01-05 17:28:43
132,17,2025-01-02 21:37:30
133,166,2025-01-01 15:33:47
134,89,2025-01-01 00:28:18
135,53,2025-01-03 19:25:19
136,25,2025-01-01 04:11:32
137,125,2025-01-04 13:48:40
138,159,2025-01-04 04:25:48
139,133,2025-01-06 08:05:15
140,174,2025-01-02 07:43:18
141,136,2025-01-02 05:25:02
142,58,2025-01-02 23:19:41
143,59,2025-01-04 13:36:32
144,147,2025-01-01 19:41:56
145,151,2025-01-01 01:25:27
146,170,2025-01-01 15:04:40
147,70,2025-01-06 04:53:24
148,42,2025-01-02 03:45:10
149,113,2025-01-02 22:58:54
150,142,2025-01-01 01:38:58
151,119,2025-01-05 03:15:34
152,19,2025-01-03 12:15:33
153,156,2025-01-06 01:53:28
154,153,2025-01-01 17:31:11
155,178,2025-01-02 08:16:30
156,167,2025-01-04 14:16:59
157,43,2025-01-02 22:03:31
158,102,2025-01-02 17:37:46
