contact_id,group_id
9886,1
8000,1
8178,1
8112,1
9839,1
7118,1
4105,1
3368,1
5558,1
6199,1
8834,2
6286,2
2370,3
2459,3
8744,3
9105,4
4644,4
6739,4
394,5
6526,5
6616,5
5108,5
2900,5
3252,6
4794,6
3802,6
4164,6
2380,6
8869,7
196,7
4360,8
8238,8
6855,8
3826,8
4286,8
2619,8
5487,8
7303,8
4878,9
3763,9
3464,9
3588,9
2384,9
6826,9
7915,9
908,10
5685,10
1162,10
3927,10
6911,10
1389,10
9048,10
641,11
2945,11
6381,12
2313,12
466,12
2757,12
6705,12
8316,12
3350,13
9864,13
8122,13
8281,13
6299,13
1381,14
1200,14
4047,14
6731,14
2610,14
5825,14
9781,14
4200,14
2298,14
5957,14
680,15
1246,15
8577,15
7805,15
7340,15
1403,16
5600,16
6464,16
5467,16
4419,16
2847,16
4447,16
4587,16
6162,16
1804,17
2908,17
9704,17
6387,17
6593,17
8813,17
3422,17
1176,17
2794,17
9020,18
333,18
3267,18
5786,19
8859,19
415,19
6028,19
4021,19
671,20
6395,20
2642,20
4926,20
7062,20
5602,21
9657,21
8686,21
9649,22
699,22
962,22
380,22
7508,22
6434,22
4904,22
9468,23
5544,23
8154,24
9373,24
3676,24
5062,24
2830,24
3634,24
4427,24
5100,25
6177,25
7200,25
3314,25
3040,26
2721,26
1063,26
3925,26
3553,26
6897,26
339,26
5899,26
8217,26
1560,27
855,27
406,27
5783,27
9796,27
5475,27
4997,27
5133,28
9606,28
595,28
5953,28
9957,28
4196,28
9385,28
1494,28
6150,28
5957,29
4443,29
8509,29
4843,29
4701,30
1639,30
292,31
2413,31
753,32
1232,32
1943,32
4125,32
9748,32
7806,33
1748,33
6494,33
6775,33
7011,33
9398,33
9925,33
5264,34
3197,34
6044,34
1871,34
9298,34
7772,34
3518,35
9508,35
7555,35
5280,36
6306,36
7600,36
423,36
6183,36
2584,36
8044,36
9336,36
535,37
5810,37
8539,38
1430,38
1498,38
7915,38
506,38
6580,38
2694,38
7500,38
7060,38
5959,39
